mmsi,vessel_name,vessel_type,lat,lon,speed_knots,in_anchorage,is_delayed,snapshot_time,date,month,day_of_week,week_of_year,year,vessel_type_safe,terminal,origin_port,teu_load,utilization_rate,dwell_time_days,is_crisis_period,rolling_avg_turnaround,is_peak_season,is_weekend,vessel_type_enc,terminal_enc,origin_enc,predicted_turnaround,congestion_level
303200000, COLLETTE C,Feeder Container,33.74499,-118.22435,0.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Ningbo,2250.0,0.9,2.0,0,95.0,1,0,0,4,4,106.0,High
367034960,PONO                ,Feeder Container,33.76741,-118.21696,0.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,4,8,106.2,High
368171260,MADELINE B HAMILTON ,Feeder Container,33.73078,-118.26217,0.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,TraPac,Ningbo,2250.0,0.9,2.0,0,95.0,1,0,0,3,4,106.0,High
368088820,MORTY               ,Feeder Container,33.74873,-118.23037,0.8,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Shanghai,2250.0,0.9,2.0,0,95.0,1,0,0,4,5,105.9,High
368133450,DARRELL HIATT       ,Feeder Container,33.73083,-118.26195,0.1,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,TraPac,Shenzhen,2250.0,0.9,2.0,0,95.0,1,0,0,3,6,105.9,High
367748970,BECKY T,Feeder Container,33.74844,-118.23045,1.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Singapore,2250.0,0.9,2.0,0,95.0,1,0,0,4,7,105.9,High
566448000,IRIS BLISS          ,Feeder Container,33.74916,-118.20674,0.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Shanghai,2250.0,0.9,2.0,0,95.0,1,0,0,4,5,105.9,High
367569830,BARBARA J MULHOLLAND,Feeder Container,33.76871,-118.22796,5.5,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Tokyo,2250.0,0.9,2.0,0,95.0,1,0,0,4,9,106.2,High
367396670,Z-THREE             ,Feeder Container,33.76372,-118.25699,0.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,TraPac,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,3,8,106.2,High
367004260,CABRILLO            ,Feeder Container,33.76761,-118.21691,0.0,False,False,2026-08-27T23:44:35.867124+00:00,2026-08-27,8,3,35,2026,Feeder Container,Yang Ming,Hong Kong,2250.0,0.9,2.0,0,95.0,1,0,0,4,1,105.9,High
